model,tau,family,n,filtered,unfiltered,gain
perslay_z_dtm_k10,0.3,thomas,7776,0.6379727319450758,0.6257266196092703,-0.012246112335805415
perslay_z_dtm_k10,0.3,nested,8227,0.5235248711731333,0.5186969057431987,-0.0048279654299345776
perslay_z_dtm_k10,0.3,matern2,19761,0.17227841279886025,0.17154554382138373,-0.000732868977476514
perslay_z_dtm_k10,0.3,lgcp,11686,0.40005970430614285,0.3956468719509599,-0.004412832355182972
perslay_z_dtm_k10,0.5,thomas,5145,0.6548387478698791,0.6395181550499439,-0.015320592819935142
perslay_z_dtm_k10,0.5,nested,11520,0.5559576390831704,0.5552586567258525,-0.0006989823573179121
perslay_z_dtm_k10,0.5,matern2,19416,0.17611677170991646,0.1691612255385824,-0.006955546171334065
perslay_z_dtm_k10,0.5,lgcp,11208,0.39512005270882034,0.38845743398177196,-0.006662618727048375
perslay_z_dtm_k10,0.7,thomas,7556,0.6101027715509245,0.5877657348451223,-0.022337036705802227
perslay_z_dtm_k10,0.7,nested,7282,0.5052035884515101,0.503400298689537,-0.0018032897619731925
perslay_z_dtm_k10,0.7,matern2,18628,0.17171654154923283,0.16738852517098612,-0.004328016378246702
perslay_z_dtm_k10,0.7,lgcp,10553,0.3986955314554064,0.38283579876147483,-0.015859732693931594
perslay_z_dtm_k10,0.9,thomas,7124,0.5436702545628126,0.5297373109588928,-0.013932943603919834
perslay_z_dtm_k10,0.9,nested,6154,0.5148609866313627,0.5209735415563612,0.0061125549249985145
perslay_z_dtm_k10,0.9,matern2,17821,0.16895059903281795,0.1622881439544383,-0.006662455078379648
perslay_z_dtm_k10,0.9,lgcp,9387,0.3747732089165556,0.35163248081488857,-0.023140728101667007
perslay_z_dtm_k15,0.0,thomas,4167,0.6424691990771862,0.6424691990771862,0.0
perslay_z_dtm_k15,0.0,nested,13875,0.5905666145141453,0.5905666145141453,0.0
perslay_z_dtm_k15,0.0,matern2,20563,0.16636005157869171,0.16636005157869171,0.0
perslay_z_dtm_k15,0.0,lgcp,11708,0.40722800560558053,0.40722800560558053,0.0
perslay_z_dtm_k15,0.3,thomas,6235,0.6278095279666388,0.6293219948831867,0.0015124669165479387
perslay_z_dtm_k15,0.3,nested,10339,0.5451925234004984,0.5437208309047525,-0.0014716924957458577
perslay_z_dtm_k15,0.3,matern2,20047,0.1621596229808838,0.16286691461320058,0.000707291632316781
perslay_z_dtm_k15,0.3,lgcp,11663,0.40492989569050564,0.40041386800016115,-0.004516027690344482
perslay_z_dtm_k15,0.5,thomas,6926,0.663669087882726,0.6538898221120246,-0.009779265770701429
perslay_z_dtm_k15,0.5,nested,9238,0.5365536792074166,0.5350356612169838,-0.0015180179904328295
perslay_z_dtm_k15,0.5,matern2,19563,0.16835561318772768,0.16172243651573331,-0.0066331766719943674
