family,coordinate,kind,tau,boundary,direction,pool_fraction
lgcp,sigma2,raw,0.7,0.3266224511039242,increasing,0.5279459459459459
lgcp,sigma2,raw,0.9,0.956521078273332,increasing,0.27264864864864863
lgcp,s,raw,0.3,0.0033640000617473,increasing,1.0
lgcp,s,raw,0.5,0.0061177567411247,increasing,0.9632432432432433
lgcp,s,raw,0.7,0.0359154163580314,increasing,0.5048108108108108
lgcp,s,raw,0.9,0.1999615802316392,increasing,5.4054054054054054e-05
lgcp,s_rel,physical,0.3,0.10000506596087122,increasing,0.999945945945946
lgcp,s_rel,physical,0.5,0.1284313335726087,increasing,0.9300540540540541
lgcp,s_rel,physical,0.7,0.5054352298171797,increasing,0.5355945945945946
lgcp,s_rel,physical,0.9,3.5868998473608835,increasing,0.031
lgcp,zeta,snr,0.3,1.276129541410976,increasing,0.7712162162162162
lgcp,zeta,snr,0.5,2.494412823391667,increasing,0.6544324324324324
lgcp,zeta,snr,0.7,3.8369155469935308,increasing,0.5719189189189189
lgcp,zeta,snr,0.9,7.595514031066634,increasing,0.44156756756756754
lgcp,delta_tilde,delta,0.3,-0.5223461337482851,increasing,0.7865945945945946
lgcp,delta_tilde,delta,0.5,-0.0848937737326942,increasing,0.6561621621621622
lgcp,delta_tilde,delta,0.7,0.3074844482214867,increasing,0.5767837837837838
lgcp,delta_tilde,delta,0.9,1.2341388039885524,increasing,0.4568378378378378
lgcp,delta_tilde_hi,delta,0.3,-0.6446747980017171,increasing,0.7827837837837838
lgcp,delta_tilde_hi,delta,0.5,-0.1066118077857619,increasing,0.6562162162162162
lgcp,delta_tilde_hi,delta,0.7,0.3844581970575184,increasing,0.577027027027027
lgcp,delta_tilde_hi,delta,0.9,1.567337066983298,increasing,0.45532432432432435
